X,Y,Z,% of ICNIRP Public,
-3.1,-15.5,0.997316,0.00112034,
-3.1,31.1,0.997316,0.267567,
14.5,31.1,0.997316,0.248512,
14.5,-15.5,0.997316,0.00105077,
-3.1,7.8,0.997316,0.514605,
5.7,-15.5,0.997316,0.00228848,
5.7,7.8,0.997316,7.05486,
5.7,31.1,0.997316,0.3265,
14.5,7.8,0.997316,0.379354,
-3.1,-3.85,0.997316,0.0113703,
1.3,-15.5,0.997316,0.00193435,
1.3,-3.85,0.997316,0.00552001,
1.3,31.1,0.997316,0.313092,
1.3,19.45,0.997316,0.855187,
5.7,19.45,0.997316,0.97078,
-3.1,19.45,0.997316,0.565792,
1.3,7.8,0.997316,2.41016,
5.7,-3.85,0.997316,0.0109367,
10.1,-15.5,0.997316,0.00139339,
10.1,-3.85,0.997316,0.00745231,
10.1,31.1,0.997316,0.301554,
10.1,19.45,0.997316,0.768315,
14.5,19.45,0.997316,0.480138,
10.1,7.8,0.997316,1.49945,
14.5,-3.85,0.997316,0.0148518,
-3.1,-9.675,0.997316,0.00214014,
-0.9,-15.5,0.997316,0.001459,
-0.9,-9.675,0.997316,0.00213513,
-0.9,31.1,0.997316,0.293649,
-0.9,25.275,0.997316,0.443497,
1.3,25.275,0.997316,0.486283,
-3.1,13.625,0.997316,0.743706,
-0.9,7.8,0.997316,1.03917,
-0.9,13.625,0.997316,1.14937,
5.7,-9.675,0.997316,0.00441493,
7.9,-15.5,0.997316,0.00189531,
7.9,-9.675,0.997316,0.00316743,
3.5,-9.675,0.997316,0.00431096,
3.5,-3.85,0.997316,0.00959044,
7.9,31.1,0.997316,0.31592,
7.9,25.275,0.997316,0.503726,
10.1,25.275,0.997316,0.461293,
7.9,7.8,0.997316,3.60071,
7.9,1.975,0.997316,0.0915524,
10.1,1.975,0.997316,0.119913,
5.7,13.625,0.997316,2.28105,
7.9,13.625,0.997316,1.91609,
-3.1,1.975,0.997316,0.0872303,
-0.9,-3.85,0.997316,0.00773173,
-0.9,1.975,0.997316,0.107526,
1.3,-9.675,0.997316,0.00310459,
3.5,-15.5,0.997316,0.00228226,
1.3,1.975,0.997316,0.103795,
3.5,1.975,0.997316,0.0303797,
3.5,31.1,0.997316,0.325486,
3.5,25.275,0.997316,0.520818,
5.7,25.275,0.997316,0.524714,
3.5,19.45,0.997316,0.942018,
3.5,13.625,0.997316,2.16922,
7.9,19.45,0.997316,0.899776,
10.1,13.625,0.997316,1.36127,
-3.1,25.275,0.997316,0.38804,
-0.9,19.45,0.997316,0.716165,
1.3,13.625,0.997316,1.69321,
3.5,7.8,0.997316,5.62277,
5.7,1.975,0.997316,0.021583,
7.9,-3.85,0.997316,0.00576012,
10.1,-9.675,0.997316,0.00212836,
12.3,-15.5,0.997316,0.00107577,
12.3,-9.675,0.997316,0.00219306,
12.3,31.1,0.997316,0.27818,
