X,Y,Z,% of FCC OET 65 Public,
-16.7,-36.7,3.9,0.000238586,
-16.7,45.5,3.9,0.0655259,
13.5,45.5,3.9,0.0700067,
13.5,-36.7,3.9,0.000233887,
-16.7,4.4,3.9,0.0855793,
-1.6,-36.7,3.9,0.000530188,
-1.6,4.4,3.9,4.29089,
-1.6,45.5,3.9,0.0856712,
13.5,4.4,3.9,0.1303,
-16.7,-16.15,3.9,0.0023625,
-9.15,-36.7,3.9,0.000388685,
-9.15,-16.15,3.9,0.00120055,
-9.15,45.5,3.9,0.0790176,
-9.15,24.95,3.9,0.215916,
-1.6,24.95,3.9,0.27671,
-16.7,24.95,3.9,0.129118,
-9.15,4.4,3.9,0.398305,
-1.6,-16.15,3.9,0.0026287,
5.95,-36.7,3.9,0.000394461,
5.95,-16.15,3.9,0.00119297,
5.95,45.5,3.9,0.0821492,
5.95,24.95,3.9,0.238376,
13.5,24.95,3.9,0.152662,
5.95,4.4,3.9,0.819997,
13.5,-16.15,3.9,0.00248175,
-16.7,-26.425,3.9,0.000484552,
-12.925,-36.7,3.9,0.000293042,
-12.925,-26.425,3.9,0.000450502,
-12.925,45.5,3.9,0.0727886,
-12.925,35.225,3.9,0.109064,
-9.15,35.225,3.9,0.124723,
-16.7,14.675,3.9,0.152218,
-12.925,4.4,3.9,0.165522,
-12.925,14.675,3.9,0.248013,
-1.6,-26.425,3.9,0.00101847,
2.175,-36.7,3.9,0.00049475,
2.175,-26.425,3.9,0.000903366,
-5.375,-26.425,3.9,0.000844051,
-5.375,-16.15,3.9,0.00162878,
2.175,45.5,3.9,0.0854306,
2.175,35.225,3.9,0.140304,
5.95,35.225,3.9,0.131233,
2.175,4.4,3.9,2.99629,
2.175,-5.875,3.9,0.00781349,
5.95,-5.875,3.9,0.0221217,
-1.6,14.675,3.9,0.748503,
2.175,14.675,3.9,0.704885,
-16.7,-5.875,3.9,0.0152967,
-12.925,-16.15,3.9,0.00174089,
-12.925,-5.875,3.9,0.0188169,
-9.15,-26.425,3.9,0.000579604,
-5.375,-36.7,3.9,0.00048818,
-9.15,-5.875,3.9,0.0210301,
-5.375,-5.875,3.9,0.014697,
-5.375,45.5,3.9,0.0828111,
-5.375,35.225,3.9,0.13589,
-1.6,35.225,3.9,0.141591,
-5.375,24.95,3.9,0.255139,
-5.375,14.675,3.9,0.60748,
2.175,24.95,3.9,0.268361,
5.95,14.675,3.9,0.518213,
