X,Y,Z,% of FCC OET 65 Public,
-24.6,-9.8,1.12,0.000146614,
-24.6,10.2,1.12,0.000159987,
25.4,10.2,1.12,0.0585403,
25.4,-9.8,1.12,0.0589046,
-24.6,0.2,1.12,0.000332574,
0.4,-9.8,1.12,0.0363521,
0.4,0.2,1.12,11.0401,
0.4,10.2,1.12,0.0322467,
25.4,0.2,1.12,0.0813956,
-24.6,-4.8,1.12,0.000235441,
-12.1,-9.8,1.12,0.00110454,
-12.1,-4.8,1.12,0.000578926,
-12.1,10.2,1.12,0.000909003,
-12.1,5.2,1.12,0.000611458,
0.4,5.2,1.12,0.101764,
-24.6,5.2,1.12,0.000266805,
-12.1,0.2,1.12,0.00128725,
0.4,-4.8,1.12,0.117213,
12.9,-9.8,1.12,0.111593,
12.9,-4.8,1.12,0.223558,
12.9,10.2,1.12,0.105674,
12.9,5.2,1.12,0.216303,
25.4,5.2,1.12,0.0745625,
12.9,0.2,1.12,0.299878,
25.4,-4.8,1.12,0.0750078,
-24.6,-7.3,1.12,0.000176899,
-18.35,-9.8,1.12,0.000284591,
-18.35,-7.3,1.12,0.00026053,
-18.35,10.2,1.12,0.000260476,
-18.35,7.7,1.12,0.000281155,
-12.1,7.7,1.12,0.000644661,
-24.6,2.7,1.12,0.000316244,
-18.35,0.2,1.12,0.000588394,
-18.35,2.7,1.12,0.00053407,
0.4,-7.3,1.12,0.0618342,
6.65,-9.8,1.12,0.10688,
6.65,-7.3,1.12,0.201575,
-5.85,-7.3,1.12,0.00584461,
-5.85,-4.8,1.12,0.00415856,
6.65,10.2,1.12,0.09868,
6.65,7.7,1.12,0.182296,
12.9,7.7,1.12,0.156138,
6.65,0.2,1.12,0.929347,
6.65,-2.3,1.12,0.731764,
12.9,-2.3,1.12,0.27822,
0.4,2.7,1.12,0.173965,
6.65,2.7,1.12,0.685743,
-24.6,-2.3,1.12,0.000299777,
-18.35,-4.8,1.12,0.000343543,
-18.35,-2.3,1.12,0.000496724,
-12.1,-7.3,1.12,0.000736197,
-5.85,-9.8,1.12,0.00601374,
-12.1,-2.3,1.12,0.000928898,
-5.85,-2.3,1.12,0.002012,
-5.85,10.2,1.12,0.00533146,
-5.85,7.7,1.12,0.00517609,
0.4,7.7,1.12,0.0539137,
-5.85,5.2,1.12,0.00370055,
-5.85,2.7,1.12,0.00205529,
6.65,5.2,1.12,0.358857,
12.9,2.7,1.12,0.273913,
-24.6,7.7,1.12,0.00020322,
-18.35,5.2,1.12,0.000391596,
-12.1,2.7,1.12,0.0009961,
-5.85,0.2,1.12,0.00412983,
0.4,-2.3,1.12,0.194837,
6.65,-4.8,1.12,0.397643,
12.9,-7.3,1.12,0.161532,
19.15,-9.8,1.12,0.0833066,
19.15,-7.3,1.12,0.103246,
19.15,10.2,1.12,0.081983,
19.15,7.7,1.12,0.101662,
25.4,7.7,1.12,0.0667307,
19.15,5.2,1.12,0.120223,
19.15,2.7,1.12,0.13543,
25.4,2.7,1.12,0.0786737,
19.15,0.2,1.12,0.141313,
19.15,-2.3,1.12,0.136207,
25.4,-2.3,1.12,0.0789803,
19.15,-4.8,1.12,0.121544,
25.4,-7.3,1.12,0.0671284,
-24.6,-8.55,1.12,0.00015794,
-21.475,-9.8,1.12,0.000190216,
-21.475,-8.55,1.12,0.000191548,
-24.6,1.45,1.12,0.000330241,
-21.475,0.2,1.12,0.000433743,
-21.475,1.45,1.12,0.000426631,
0.4,-8.55,1.12,0.0467497,
3.525,-9.8,1.12,0.0745828,
3.525,-8.55,1.12,0.10375,
