X,Y,Z,% of ICNIRP Public,
-35.5,-5.7,3.9,0.00794615,
-35.5,87.9,3.9,0.02246,
37.5,87.9,3.9,0.0208219,
37.5,-5.7,3.9,0.00737254,
-35.5,41.1,3.9,0.0436573,
1,-5.7,3.9,0.0129937,
1,41.1,3.9,0.139482,
1,87.9,3.9,0.0310224,
37.5,41.1,3.9,0.0376394,
-35.5,17.7,3.9,0.0358647,
-17.25,-5.7,3.9,0.0203714,
-17.25,17.7,3.9,0.190557,
-17.25,87.9,3.9,0.0285945,
-17.25,64.5,3.9,0.0495189,
1,64.5,3.9,0.0573266,
-35.5,64.5,3.9,0.0326197,
-17.25,41.1,3.9,0.0995846,
1,17.7,3.9,0.698994,
19.25,-5.7,3.9,0.0184543,
19.25,17.7,3.9,0.140437,
19.25,87.9,3.9,0.0275938,
19.25,64.5,3.9,0.0468294,
37.5,64.5,3.9,0.029433,
19.25,41.1,3.9,0.0880081,
37.5,17.7,3.9,0.029565,
-35.5,6,3.9,0.0196707,
-26.375,-5.7,3.9,0.0120883,
-26.375,6,3.9,0.0418071,
-26.375,87.9,3.9,0.0258156,
-26.375,76.2,3.9,0.032395,
-17.25,76.2,3.9,0.0371868,
1,6,3.9,4.00602,
10.125,-5.7,3.9,0.0306888,
10.125,6,3.9,0.406196,
-8.125,6,3.9,0.81083,
-8.125,17.7,3.9,0.491098,
10.125,87.9,3.9,0.0298999,
10.125,76.2,3.9,0.0395106,
19.25,76.2,3.9,0.035269,
10.125,41.1,3.9,0.119731,
10.125,29.4,3.9,0.203868,
19.25,29.4,3.9,0.120531,
-35.5,29.4,3.9,0.0439447,
-26.375,17.7,3.9,0.0752672,
-26.375,29.4,3.9,0.0805426,
-17.25,6,3.9,0.124559,
-8.125,-5.7,3.9,0.0292085,
-8.125,87.9,3.9,0.0307604,
-8.125,76.2,3.9,0.0400792,
1,76.2,3.9,0.0411948,
-8.125,64.5,3.9,0.0552677,
10.125,64.5,3.9,0.0533873,
-35.5,76.2,3.9,0.0266868,
-26.375,64.5,3.9,0.0413144,
-17.25,29.4,3.9,0.146562,
-26.375,41.1,3.9,0.0678933,
-8.125,29.4,3.9,0.232499,
1,29.4,3.9,0.2684,
-8.125,41.1,3.9,0.128923,
10.125,17.7,3.9,0.370623,
19.25,6,3.9,0.0860668,
28.375,-5.7,3.9,0.011202,
28.375,6,3.9,0.0332638,
28.375,87.9,3.9,0.0244119,
28.375,76.2,3.9,0.0303375,
37.5,76.2,3.9,0.0249433,
28.375,64.5,3.9,0.0380908,
28.375,41.1,3.9,0.0586732,
28.375,29.4,3.9,0.0656273,
37.5,29.4,3.9,0.0371576,
28.375,17.7,3.9,0.0590933,
37.5,6,3.9,0.0171586,
-35.5,0.15,3.9,0.0128601,
-30.9375,-5.7,3.9,0.0096414,
-30.9375,0.15,3.9,0.0170516,
-30.9375,87.9,3.9,0.0240996,
-30.9375,82.05,3.9,0.0266361,
-26.375,82.05,3.9,0.0288494,
-35.5,52.8,3.9,0.0380443,
-26.375,52.8,3.9,0.0522565,
-17.25,52.8,3.9,0.0690424,
-8.125,52.8,3.9,0.081547,
1,52.8,3.9,0.0851639,
10.125,52.8,3.9,0.0779779,
19.25,52.8,3.9,0.0634761,
28.375,52.8,3.9,0.0473914,
37.5,52.8,3.9,0.0342061,
1,0.15,3.9,3.63599,
5.5625,-5.7,3.9,0.0305521,
5.5625,0.15,3.9,0.428892,
-3.5625,0.15,3.9,0.870762,
-3.5625,6,3.9,2.87181,
5.5625,87.9,3.9,0.0308679,
5.5625,82.05,3.9,0.0352619,
10.125,82.05,3.9,0.0342097,
5.5625,41.1,3.9,0.1331,
