X,Y,Z,% of ICNIRP Public,
-19.6,-18,3.9,0.00262372,
-19.6,32,3.9,0.118115,
20.4,32,3.9,0.105429,
20.4,-18,3.9,0.00326923,
-19.6,7,3.9,0.0975605,
0.4,-18,3.9,0.00280702,
0.4,7,3.9,3.45469,
0.4,32,3.9,0.227896,
20.4,7,3.9,0.0812147,
-19.6,-5.5,3.9,0.0182592,
-9.6,-18,3.9,0.0012747,
-9.6,-5.5,3.9,0.0311445,
-9.6,32,3.9,0.192448,
-9.6,19.5,3.9,0.383075,
0.4,19.5,3.9,0.59208,
-19.6,19.5,3.9,0.146373,
-9.6,7,3.9,0.591385,
0.4,-5.5,3.9,0.0178501,
10.4,-18,3.9,0.00166926,
10.4,-5.5,3.9,0.031996,
10.4,32,3.9,0.177262,
10.4,19.5,3.9,0.330749,
20.4,19.5,3.9,0.125145,
10.4,7,3.9,0.408756,
20.4,-5.5,3.9,0.0177517,
-19.6,-11.75,3.9,0.00690882,
-14.6,-18,3.9,0.00189764,
-14.6,-11.75,3.9,0.00671477,
-14.6,32,3.9,0.153436,
-14.6,25.75,3.9,0.197736,
-9.6,25.75,3.9,0.267759,
-19.6,13.25,3.9,0.138144,
-14.6,7,3.9,0.213,
-14.6,13.25,3.9,0.263913,
0.4,-11.75,3.9,0.00618195,
5.4,-18,3.9,0.00142806,
5.4,-11.75,3.9,0.0031666,
-4.6,-11.75,3.9,0.00351245,
-4.6,-5.5,3.9,0.0190333,
5.4,32,3.9,0.211058,
5.4,25.75,3.9,0.309596,
10.4,25.75,3.9,0.239928,
5.4,7,3.9,1.34925,
5.4,0.75,3.9,0.577816,
10.4,0.75,3.9,0.168403,
0.4,13.25,3.9,1.20832,
5.4,13.25,3.9,0.829619,
-19.6,0.75,3.9,0.0472266,
-14.6,-5.5,3.9,0.0248257,
-14.6,0.75,3.9,0.0904742,
-9.6,-11.75,3.9,0.0044821,
-4.6,-18,3.9,0.00215093,
-9.6,0.75,3.9,0.224148,
-4.6,0.75,3.9,0.969724,
-4.6,32,3.9,0.219196,
-4.6,25.75,3.9,0.32988,
0.4,25.75,3.9,0.347566,
-4.6,19.5,3.9,0.541388,
-4.6,13.25,3.9,0.99791,
5.4,19.5,3.9,0.488469,
10.4,13.25,3.9,0.42912,
-19.6,25.75,3.9,0.136251,
-14.6,19.5,3.9,0.242197,
-9.6,13.25,3.9,0.540335,
-4.6,7,3.9,2.0323,
0.4,0.75,3.9,13.635,
5.4,-5.5,3.9,0.0328991,
10.4,-11.75,3.9,0.00670747,
15.4,-18,3.9,0.00268247,
15.4,-11.75,3.9,0.00798952,
15.4,32,3.9,0.140129,
15.4,25.75,3.9,0.172726,
20.4,25.75,3.9,0.119393,
15.4,19.5,3.9,0.205092,
15.4,13.25,3.9,0.214164,
20.4,13.25,3.9,0.114223,
15.4,7,3.9,0.164519,
15.4,0.75,3.9,0.0743464,
20.4,0.75,3.9,0.0417927,
15.4,-5.5,3.9,0.02409,
20.4,-11.75,3.9,0.00752187,
-19.6,-14.875,3.9,0.00424341,
-17.1,-18,3.9,0.00232151,
-17.1,-14.875,3.9,0.0040071,
-17.1,32,3.9,0.136199,
-17.1,28.875,3.9,0.150409,
-14.6,28.875,3.9,0.172169,
-19.6,10.125,3.9,0.120565,
-17.1,7,3.9,0.139966,
-17.1,10.125,3.9,0.172426,
0.4,-14.875,3.9,0.00403738,
2.9,-18,3.9,0.00210058,
2.9,-14.875,3.9,0.00271577,
-2.1,-14.875,3.9,0.00397768,
-2.1,-11.75,3.9,0.0059317,
2.9,32,3.9,0.220623,
2.9,28.875,3.9,0.268874,
5.4,28.875,3.9,0.254758,
2.9,7,3.9,2.44171,
2.9,3.875,3.9,3.18751,
5.4,3.875,3.9,1.25435,
0.4,10.125,3.9,1.92569,
2.9,10.125,3.9,1.58994,
-19.6,-2.375,3.9,0.0298927,
-17.1,-5.5,3.9,0.0212931,
-17.1,-2.375,3.9,0.0375079,
-9.6,-14.875,3.9,0.00208724,
-7.1,-18,3.9,0.0014891,
-7.1,-14.875,3.9,0.00191227,
-12.1,-14.875,3.9,0.00278979,
-12.1,-11.75,3.9,0.00594793,
-7.1,32,3.9,0.208724,
-7.1,28.875,3.9,0.247883,
-4.6,28.875,3.9,0.266703,
-7.1,19.5,3.9,0.469103,
-7.1,16.375,3.9,0.597473,
-4.6,16.375,3.9,0.722997,
-9.6,22.625,3.9,0.322704,
-7.1,22.625,3.9,0.373775,
-19.6,22.625,3.9,0.14349,
-17.1,19.5,3.9,0.189465,
-17.1,22.625,3.9,0.178013,
-9.6,10.125,3.9,0.609299,
-7.1,7,3.9,1.08157,
-7.1,10.125,3.9,0.954586,
-12.1,10.125,3.9,0.381035,
-12.1,13.25,3.9,0.382764,
-12.1,-2.375,3.9,0.0631622,
-9.6,-2.375,3.9,0.0843816,
-12.1,0.75,3.9,0.136342,
-2.1,-2.375,3.9,0.0394908,
0.4,-2.375,3.9,0.0146589,
-2.1,0.75,3.9,2.90241,
-2.1,-5.5,3.9,0.0135642,
-4.6,-2.375,3.9,0.129266,
2.9,-5.5,3.9,0.0167047,
2.9,-2.375,3.9,0.128178,
10.4,-14.875,3.9,0.00317389,
12.9,-18,3.9,0.00220041,
12.9,-14.875,3.9,0.00403352,
7.9,-14.875,3.9,0.00224696,
7.9,-11.75,3.9,0.00494431,
12.9,32,3.9,0.157826,
12.9,28.875,3.9,0.182106,
15.4,28.875,3.9,0.155633,
12.9,19.5,3.9,0.26284,
12.9,16.375,3.9,0.287045,
15.4,16.375,3.9,0.212352,
10.4,22.625,3.9,0.28445,
12.9,22.625,3.9,0.233064,
0.4,22.625,3.9,0.445917,
2.9,19.5,3.9,0.55201,
2.9,22.625,3.9,0.425302,
10.4,10.125,3.9,0.448504,
12.9,7,3.9,0.252096,
12.9,10.125,3.9,0.292641,
7.9,10.125,3.9,0.706325,
7.9,13.25,3.9,0.608573,
12.9,3.875,3.9,0.180925,
15.4,3.875,3.9,0.118317,
12.9,-5.5,3.9,0.0280141,
12.9,-8.625,3.9,0.0146237,
15.4,-8.625,3.9,0.013633,
10.4,-2.375,3.9,0.0741422,
12.9,-2.375,3.9,0.0555964,
-19.6,-8.625,3.9,0.0112942,
-17.1,-11.75,3.9,0.00695075,
-17.1,-8.625,3.9,0.0120202,
-14.6,-14.875,3.9,0.00352812,
-12.1,-18,3.9,0.00150546,
-14.6,-8.625,3.9,0.0128505,
-12.1,-8.625,3.9,0.0129739,
-12.1,32,3.9,0.172581,
-12.1,28.875,3.9,0.20115,
-9.6,28.875,3.9,0.226164,
-12.1,25.75,3.9,0.23043,
-12.1,22.625,3.9,0.270249,
-7.1,25.75,3.9,0.302209,
-4.6,22.625,3.9,0.412922,
-19.6,16.375,3.9,0.146306,
-17.1,13.25,3.9,0.189997,
-17.1,16.375,3.9,0.194192,
-14.6,10.125,3.9,0.250867,
-12.1,7,3.9,0.341869,
-14.6,16.375,3.9,0.261391,
-12.1,16.375,3.9,0.348039,
0.4,-8.625,3.9,0.0102804,
2.9,-11.75,3.9,0.00359322,
2.9,-8.625,3.9,0.00531111,
-2.1,-8.625,3.9,0.00925454,
-4.6,-8.625,3.9,0.00530189,
5.4,-14.875,3.9,0.00187395,
7.9,-18,3.9,0.00129464,
5.4,-8.625,3.9,0.00859781,
7.9,-8.625,3.9,0.0129884,
-7.1,-8.625,3.9,0.00826414,
-7.1,-5.5,3.9,0.0302215,
-7.1,-2.375,3.9,0.113989,
-7.1,0.75,3.9,0.421661,
7.9,32,3.9,0.195307,
7.9,28.875,3.9,0.231119,
10.4,28.875,3.9,0.207881,
7.9,25.75,3.9,0.278181,
7.9,22.625,3.9,0.336958,
12.9,25.75,3.9,0.205984,
15.4,22.625,3.9,0.19104,
7.9,7,3.9,0.723197,
7.9,3.875,3.9,0.569077,
10.4,3.875,3.9,0.303554,
5.4,10.125,3.9,1.09797,
2.9,13.25,3.9,1.06363,
7.9,0.75,3.9,0.288825,
7.9,-2.375,3.9,0.100865,
12.9,0.75,3.9,0.106906,
15.4,-2.375,3.9,0.0428244,
0.4,16.375,3.9,0.821635,
2.9,16.375,3.9,0.755145,
5.4,16.375,3.9,0.630143,
7.9,16.375,3.9,0.503076,
-19.6,3.875,3.9,0.0719894,
-17.1,0.75,3.9,0.0633546,
-17.1,3.875,3.9,0.101011,
-14.6,-2.375,3.9,0.0482297,
-12.1,-5.5,3.9,0.0286261,
-9.6,-8.625,3.9,0.0116083,
-7.1,-11.75,3.9,0.00312833,
-4.6,-14.875,3.9,0.00274536,
-2.1,-18,3.9,0.00278939,
-14.6,3.875,3.9,0.150444,
-12.1,3.875,3.9,0.243233,
-9.6,3.875,3.9,0.44187,
-7.1,3.875,3.9,0.931093,
-4.6,3.875,3.9,2.2727,
-2.1,3.875,3.9,5.55809,
-2.1,32,3.9,0.227413,
-2.1,28.875,3.9,0.277613,
0.4,28.875,3.9,0.278374,
-2.1,25.75,3.9,0.34628,
-2.1,22.625,3.9,0.443182,
-2.1,19.5,3.9,0.585078,
-2.1,16.375,3.9,0.800565,
-2.1,13.25,3.9,1.17436,
-2.1,10.125,3.9,1.85475,
2.9,25.75,3.9,0.334598,
5.4,22.625,3.9,0.38353,
7.9,19.5,3.9,0.406895,
10.4,16.375,3.9,0.383457,
12.9,13.25,3.9,0.300506,
15.4,10.125,3.9,0.195375,
-19.6,28.875,3.9,0.12566,
-17.1,25.75,3.9,0.163868,
-14.6,22.625,3.9,0.221803,
-12.1,19.5,3.9,0.311337,
-9.6,16.375,3.9,0.466556,
-7.1,13.25,3.9,0.75464,
-4.6,10.125,3.9,1.43475,
-2.1,7,3.9,3.20145,
0.4,3.875,3.9,6.66131,
2.9,0.75,3.9,1.36161,
5.4,-2.375,3.9,0.132881,
7.9,-5.5,3.9,0.0355112,
10.4,-8.625,3.9,0.014759,
12.9,-11.75,3.9,0.00770337,
15.4,-14.875,3.9,0.00461851,
17.9,-18,3.9,0.00304677,
17.9,-14.875,3.9,0.00484324,
17.9,32,3.9,0.121545,
17.9,28.875,3.9,0.132966,
20.4,28.875,3.9,0.112821,
17.9,25.75,3.9,0.144973,
17.9,22.625,3.9,0.153694,
20.4,22.625,3.9,0.124209,
17.9,19.5,3.9,0.159296,
17.9,16.375,3.9,0.161217,
20.4,16.375,3.9,0.123629,
17.9,13.25,3.9,0.153206,
17.9,10.125,3.9,0.139153,
20.4,10.125,3.9,0.0995909,
17.9,7,3.9,0.112971,
17.9,3.875,3.9,0.0827035,
20.4,3.875,3.9,0.0607539,
17.9,0.75,3.9,0.0546415,
17.9,-2.375,3.9,0.0338483,
20.4,-2.375,3.9,0.0273603,
17.9,-5.5,3.9,0.0206481,
17.9,-8.625,3.9,0.0124818,
20.4,-8.625,3.9,0.0113887,
17.9,-11.75,3.9,0.00783617,
20.4,-14.875,3.9,0.00495072,
-19.6,-16.4375,3.9,0.00335765,
-18.35,-18,3.9,0.00249606,
-18.35,-16.4375,3.9,0.00319197,
-18.35,32,3.9,0.12683,
-18.35,30.4375,3.9,0.132817,
-17.1,30.4375,3.9,0.143136,
-19.6,8.5625,3.9,0.110444,
-18.35,7,3.9,0.11611,
-18.35,8.5625,3.9,0.131656,
0.4,-16.4375,3.9,0.00334368,
1.65,-18,3.9,0.00249377,
1.65,-16.4375,3.9,0.00290985,
-0.85,-16.4375,3.9,0.00347409,
-0.85,-14.875,3.9,0.00421509,
1.65,32,3.9,0.226718,
1.65,30.4375,3.9,0.249693,
2.9,30.4375,3.9,0.242952,
-19.6,-3.9375,3.9,0.0231658,
-18.35,-5.5,3.9,0.0197116,
-18.35,-3.9375,3.9,0.0254362,
-9.6,-16.4375,3.9,0.00157873,
-8.35,-18,3.9,0.0013217,
-8.35,-16.4375,3.9,0.00153458,
-10.85,-16.4375,3.9,0.00176212,
-10.85,-14.875,3.9,0.00243901,
-8.35,32,3.9,0.200663,
-8.35,30.4375,3.9,0.217817,
-7.1,30.4375,3.9,0.227853,
-8.35,19.5,3.9,0.429134,
-8.35,17.9375,3.9,0.473108,
-7.1,17.9375,3.9,0.523942,
-9.6,21.0625,3.9,0.3513,
-8.35,21.0625,3.9,0.384335,
-19.6,21.0625,3.9,0.145818,
-18.35,19.5,3.9,0.166209,
-18.35,21.0625,3.9,0.164103,
-9.6,8.5625,3.9,0.606464,
-8.35,7,3.9,0.793209,
-8.35,8.5625,3.9,0.797345,
-10.85,8.5625,3.9,0.471939,
-10.85,10.125,3.9,0.479798,
-10.85,-3.9375,3.9,0.04686,
-9.6,-3.9375,3.9,0.0516171,
-10.85,-2.375,3.9,0.0723466,
-0.85,-3.9375,3.9,0.0274552,
0.4,-3.9375,3.9,0.0201082,
-0.85,-2.375,3.9,0.0274665,
-0.85,-5.5,3.9,0.02158,
-2.1,-3.9375,3.9,0.0163244,
1.65,-5.5,3.9,0.011097,
1.65,-3.9375,3.9,0.021484,
10.4,-16.4375,3.9,0.00229471,
11.65,-18,3.9,0.00195318,
11.65,-16.4375,3.9,0.00262102,
